lanzepisode_name,name,date,role,party,message,genre,pub_platform
Markus Lanz vom 24. Oktober 2023,Gerald Knaus,2023-10-24T00:00:00.000000,Migrationsforscher,,"Er erläutert seine Kritik an der deutschen Flüchtlings- und Integrationspolitik: ""Wir hinken immer hinterher, weil wir erst reagieren, wenn die Krise bereits ausgebrochen ist.""",Wissenschaft,
Markus Lanz vom 2. November 2023,Karl Lauterbach,2023-11-02T00:00:00.000000,SPD-Politiker,SPD,"Der Bundesgesundheitsminister erläutert, wie er gegen Medikamenten-Engpässe vorgehen will. Zudem nimmt er Stellung zur Kritik an der deutschen Enthaltung bei der UN-Resolution.",Politik,
Markus Lanz vom 2. November 2023,Mariam Lau,2023-11-02T00:00:00.000000,Journalistin,,"Die in Teheran geborene ""ZEIT""-Redakteurin spricht über die Verstrickungen des iranischen Regimes mit der radikalislamischen Hamas. Zudem analysiert sie die Politik Lauterbachs.",Journalismus,Zeit
Markus Lanz vom 2. November 2023,Kai Joachimsen,2023-11-02T00:00:00.000000,Arzt,,Der Chef des Bundesverbandes der Pharmazeutischen Industrie spricht über die Zukunftsfähigkeit und die Herausforderungen des Pharmasektors und des Krankenkassenwesens in Deutschland.,Gesundheit,
Markus Lanz vom 2. November 2023,Ulrike Holzgrabe,2023-11-02T00:00:00.000000,Pharmazeutin,,Sie erläutert die Risiken der deutschen Abhängigkeit von außereuropäischen Herstellern im Pharmabereich. Zudem spricht sie über den Entwicklungsaufwand von Medikamenten.,Gesundheit,
Markus Lanz vom 1. März 2023,Katja Kipping,2023-03-01T00:00:00.000000,Politikerin,LINKE,"Die linke Berliner Sozialsenatorin äußert sich zur Situation der Geflüchteten in der Hauptstadt, dem Friedensmanifest Sahra Wagenknechts und über mögliche Koalitionen nach der Berlin-Wahl.",Politik,
Markus Lanz vom 1. März 2023,Robin Alexander,2023-03-01T00:00:00.000000,Journalist,,"Der stellvertretende ""Welt""-Chefredakteur analysiert den Prozess der Regierungsbildung in Berlin, den Zustand der Linkspartei und die flüchtlingspolitischen Herausforderungen Deutschlands.",Journalismus,Welt
Markus Lanz vom 1. März 2023,Frank Sauer,2023-03-01T00:00:00.000000,Politikwissenschaftler,,"Der Experte für Atomwaffen, nukleare Abschreckung und Künstliche Intelligenz im Militär spricht über die aktuelle nukleare Bedrohungslage und die Möglichkeiten moderner Waffensysteme.",Politik,
Markus Lanz vom 1. März 2023,Michail Chodorkowski,2023-03-01T00:00:00.000000,Unternehmer,,"Der im Exil lebende Ex-Oligarch war bereits vor Putins Angriff auf die Ukraine ein scharfer Kritiker des Kreml-Chefs. Er erläutert seine Vision eines ""kompletten Neuaufbaus"" Russlands.",Ökonomie,
Markus Lanz vom 9. Mai 2023,Norbert Röttgen,2023-05-09T00:00:00.000000,Politiker,CDU,Der CDU-Außenpolitiker äußert sich zur geo- und migrationspolitischen Bedeutung der Präsidentschaftswahl in der Türkei und zur Debatte um die weitere deutsche Flüchtlingspolitik.,Politik,
Markus Lanz vom 9. Mai 2023,Veit Medick,2023-05-09T00:00:00.000000,Journalist,,"Mit Blick auf den Migrations-Gipfel am Mittwoch analysiert der ""Spiegel""-Redakteur die flüchtlingspolitischen Streitereien zwischen Bund und Ländern und innerhalb der Ampelkoalition.",Journalismus,Spiegel
Markus Lanz vom 9. Mai 2023,Çiğdem Akyol,2023-05-09T00:00:00.000000,Autorin,,Die Journalistin mit kurdisch-türkischen Wurzeln zum innen- und außenpolitischen Kalkül des türkischen Präsidenten Erdoğan und zur Strategie seines Herausforderers Kılıçdaroğlu.,Literatur,
Markus Lanz vom 9. Mai 2023,Michael Thumann,2023-05-09T00:00:00.000000,Journalist,,"Der ""Zeit""-Moskau-Korrespondent informiert über die Feierlichkeiten zum ""Tag des Sieges"" in Russland und zeichnet ein Stimmungsbild der russischen Gesellschaft und innenpolitischen Lage.",Journalismus,Zeit
Markus Lanz vom 6. Dezember 2023,Christian Dürr,2023-12-06T00:00:00.000000,FDP-Politiker,FDP,Der Fraktionschef der Liberalen nimmt Stellung zur Debatte um den Bundeshaushalt infolge des BVerfG-Urteils. Zudem äußert er sich zur Zukunft der Ampelkoalition.,Politik,
Markus Lanz vom 6. Dezember 2023,Ulrike Herrmann,2023-12-06T00:00:00.000000,Journalistin,,"Die ""taz""-Wirtschaftsexpertin analysiert die finanz- und wirtschaftspolitischen Differenzen innerhalb der Regierungsparteien. Auch über den Zustand der FDP spricht sie.",Journalismus,TAZ
Markus Lanz vom 6. Dezember 2023,Christopher Clark,2023-12-06T00:00:00.000000,Historiker,,Der Cambridge-Professor und Bestsellerautor äußert sich zum zunehmenden Vertrauensverlust in die Demokratien sowie zur Schwäche der westlichen Welt und deren Werte.,Geschichte,
Markus Lanz vom 6. Dezember 2023,Gili Roman,2023-12-06T00:00:00.000000,Pädagoge,,"Seine deutsch-israelische Schwester Yarden wurde von der Hamas verschleppt und kürzlich freigelassen, nach 54 Tagen als Geisel. Er erzählt, wie sie und seine Familie die Zeit erlebt haben.",Bildung,
Markus Lanz vom 3. Mai 2022,Kevin Kühnert,2022-05-03T00:00:00.000000,Politiker,SPD,Der SPD-Generalsekretär nimmt Stellung zur Verteidigungs- und Außenpolitik der Bundesregierung und zum Agieren von Kanzler Scholz.,Politik,
Markus Lanz vom 3. Mai 2022,Robin Alexander,2022-05-03T00:00:00.000000,Journalist,,"Der stellvertretende ""Welt""-Chefredakteur analysiert den bundespolitischen Umgang mit Kiew und Moskau sowie die Russland-Haltung der SPD.",Journalismus,Welt
Markus Lanz vom 3. Mai 2022,Reinhard Merkel,2022-05-03T00:00:00.000000,Rechtsphilosoph,,"Angesichts des Ukraine-Krieges warnt er vor einer Katastrophe für die Menschheit, und erläutert, warum er daher zu den Mitunterzeichnern eines offenen Briefes an Olaf Scholz gehört.",Wissenschaft,
Markus Lanz vom 3. Mai 2022,Jana Puglierin,2022-05-03T00:00:00.000000,Politologin,,"Die Expertin vom European Council on Foreign Relations äußert sich zum Fortgang des Krieges in Osteuropa und legt dar, warum sie Waffenlieferungen an die Ukraine für unabdingbar hält.",Wissenschaft,
Markus Lanz vom 7. Juni 2023,Serap Güler,2023-06-07T00:00:00.000000,Politikerin,CDU,Die CDU-Verteidigungspolitikerin und frühere NRW-Flüchtlingsstaatssekretärin äußert sich zur Debatte um die Reform des strittigen europäischen Asylsystems sowie zum Ukrainekrieg.,Politik,
Markus Lanz vom 7. Juni 2023,Robin Alexander,2023-06-07T00:00:00.000000,Journalist,,"Mit Blick auf das bevorstehende Treffen der EU-Innenminister analysiert der ""Welt""-Vize die deutsche Migrationspolitik. Zudem äußert er sich zum wachsenden Zulauf für die AfD.",Journalismus,Welt
Markus Lanz vom 7. Juni 2023,Sarah Pagung,2023-06-07T00:00:00.000000,Politologin,,"Die Russland-Expertin der Körber-Stiftung informiert über neue Erkenntnisse zum Dammbruch am Kachowka-Stausee. Und sie erklärt, wie Putin Fluchtbewegungen als Druckmittel benutzt.",Wissenschaft,
Markus Lanz vom 7. Juni 2023,Aminata Touré,2023-06-07T00:00:00.000000,Politikerin,B90G,"Die schleswig-holsteinische Sozialministerin (B'90/Grüne) erläutert, warum sie gegen eine weitreichende Asylrechtsverschärfung ist und wie innerparteilich darüber debattiert wird.",Politik,
Markus Lanz vom 16. Mai 2023,Wolfgang Kubicki,2023-05-16T00:00:00.000000,Politiker,FDP,"Der FDP-Vize nimmt Stellung zum Streit bei den Liberalen um die eigene Rolle in der Ampelkoalition, zu den Wahlen in der Türkei und in Bremen sowie zur Energie- und Klimapolitik.",Politik,
Markus Lanz vom 16. Mai 2023,Helene Bubrowski,2023-05-16T00:00:00.000000,Journalistin,,"Die FAZ-Redakteurin äußert sich zum Zustand der FDP sowie zum Politik- und Führungsstil Kubickis. ""Er will den Tabubruch nicht der AfD überlassen, deshalb macht er das selbst"", sagt sie.",Journalismus,FAZ
Markus Lanz vom 16. Mai 2023,Petra Pinzler,2023-05-16T00:00:00.000000,Journalistin,,"Die Wirtschafts- und Umweltpolitik-Expertin der ""Zeit"" analysiert die energie-, wirtschafts- und steuerpolitischen Differenzen innerhalb der Regierungsparteien.",Journalismus,Zeit
Markus Lanz vom 16. Mai 2023,Carolina Drüten,2023-05-16T00:00:00.000000,Türkei-Expertin,,"Die ""Welt""-Korrespondentin für die Türkei, Griechenland und den Balkan informiert über Hintergründe zur türkischen Präsidentschaftswahl und erläutert, wie es bis zur Stichwahl weitergeht.",International,
Markus Lanz vom 18. Juli 2023,Joachim Gauck,2023-07-18T00:00:00.000000,Bundespräsident a.D.,Parteilos,"Er äußert sich zu den drängendsten Fragen unserer Zeit, unter anderem zu den Gefahren für die Demokratie, der Migration, den Wählerverlusten bei den Parteien der Mitte und der Stimmung in Ostdeutschland.",Politik,
Markus Lanz vom 21. November 2023,Robert Habeck,2023-11-21T00:00:00.000000,Vizekanzler,B90G,"Der Bundeswirtschaftsminister (B´90/Grüne) nimmt Stellung zum historischen Karlsruher Haushaltsurteil, dessen Folgen für die Ampelkoalition und zu seiner weiteren Klima- und Energiepolitik. ",Politik,
Markus Lanz vom 21. November 2023,Stephan Weil,2023-11-21T00:00:00.000000,SPD-Politiker,SPD,"Der Ministerpräsident Niedersachsens äußert sich zur Flüchtlingssituation in seinem Land, der Finanzierung der Asylpolitik und zur aufflammenden Debatte um die Schuldenbremse. ",Politik,
Markus Lanz vom 21. November 2023,Veronika Grimm,2023-11-21T00:00:00.000000,Ökonomin,,Als eine der fünf Wirtschaftsweisen in Deutschland analysiert sie die Auswirkungen des Urteils des Bundesverfassungsgerichts auf die Wirtschaftslage und Konjunkturaussichten.  ,Ökonomie,
Markus Lanz vom 21. November 2023,Helene Bubrowski,2023-11-21T00:00:00.000000,Journalistin,,"Die ""FAZ""-Expertin für Innen- und Rechtspolitik spricht über den Zustand der Ampelkoalition. Zudem äußert sie sich zu den migrationspolitischen Herausforderungen für Bund und Länder. ",Journalismus,FAZ
Markus Lanz vom 21. September 2023,Saskia Esken,2023-09-21T00:00:00.000000,SPD-Vorsitzende,SPD,Sie nimmt Stellung zur Causa Nancy Faeser (SPD) sowie zum migrations- und sozialpolitischen Kurs der Sozialdemokraten.,Politik,
Markus Lanz vom 21. September 2023,Christoph Schwennicke,2023-09-21T00:00:00.000000,Journalist,,"Der Politikchef von ""T-Online"" erläutert seine Kritik an der Asyl- und Migrationspolitik der Ampelregierung. Zudem analysiert er die Gründe für die schwachen SPD-Umfragewerte.",Journalismus,T-Online
Markus Lanz vom 21. September 2023,Sabine Fischer,2023-09-21T00:00:00.000000,Russland-Expertin,,Sie spricht über Chauvinismus und Männlichkeitskult in Russland und über den Zustand der russischen Gesellschaft nach 575 Tagen Krieg in der Ukraine.,International,
Markus Lanz vom 31. Oktober 2023,Johannes Vogel,2023-10-31T00:00:00.000000,FDP-Vize,FDP,"Mit Blick auf die Entwicklung im Nahen Osten nimmt er Stellung zum außenpolitischen Kurs der Bundesregierung, den Beziehungen zu Iran und zum wachsenden Antisemitismus in Deutschland.",Politik,
Markus Lanz vom 31. Oktober 2023,Michael Wolffsohn,2023-10-31T00:00:00.000000,Publizist,,Der Historiker diente als Wehrpflichtiger in der israelischen Armee. Er spricht über die aktuelle Entwicklung des Israel-Krieges und über Strukturen innerhalb der Hamas.,Literatur,
Markus Lanz vom 31. Oktober 2023,Gilda Sahebi,2023-10-31T00:00:00.000000,Iran-Expertin,,"""Das spielt sich gerade genauso aus, wie sich das das iranische Regime erhofft hat"", sagt sie über das Kalkül des Iran und erläutert, wie die Mullahs Judenhass in der Bevölkerung säen.",International,
Markus Lanz vom 4. Mai 2022,Norbert Röttgen,2022-05-04T00:00:00.000000,Politiker,CDU,"Der CDU-Außenpolitikexperte äußert sich zum Fortgang des Ukraine-Krieges und der Kiew-Reise seines Parteichefs Merz. Zudem legt er dar, warum er für ein Gas-Embargo gegen Russland ist. ",Politik,
Markus Lanz vom 4. Mai 2022,Klaus Müller,2022-05-04T00:00:00.000000,Netzagenturchef,B90G,"Der Chef der Bundesnetzagentur erläutert, wie sich seine Behörde auf eine Gas-Notlage vorbereitet und nach welchen Prioritäten der Energieträger bei einer Unterversorgung verteilt wird. ",Militär,
Markus Lanz vom 11. April 2023,Michael Otto,2023-04-11T00:00:00.000000,Unternehmer,,Der Versandhauskönig äußert sich zur gesellschaftlichen und ökologischen Verantwortung als Großunternehmer sowie zur Zukunftsfähigkeit des Wirtschaftsstandorts Deutschland.,Ökonomie,
Markus Lanz vom 11. April 2023,Carla Reemtsma,2023-04-11T00:00:00.000000,Klimaaktivistin,,"Die ""Fridays for Future""-Aktivistin erläutert Konzepte, wie Produktions-, Handels- und Vertriebsabläufe nachhaltiger und umweltschonender gestaltet werden könnten.",Aktivismus,
Markus Lanz vom 11. April 2023,Simon Jäger,2023-04-11T00:00:00.000000,Arbeitsmarkt-Ökonom,,"Der Chef des Bonner Instituts zur Zukunft der Arbeit (IZA) legt dar, wie sich die Arbeitswelt im Zuge der Digitalisierung und der demografischen Entwicklung verändern wird.",Ökonomie,
Markus Lanz vom 11. April 2023,Kathrin Hartmann,2023-04-11T00:00:00.000000,Journalistin,,"Die Nachhaltigkeitsexpertin erklärt, warum der Ressourcenverbrauch trotz höheren Umwelt- und Klimabewusstseins zunimmt und sich Verbraucher schwertun, ihr Konsumverhalten zu ändern.",Journalismus,
Markus Lanz vom 24. August 2023,Karin Prien,2023-08-24T00:00:00.000000,CDU-Vizevorsitzende,CDU,Die schleswig-holsteinische Bildungsministerin nimmt Stellung zu den parteiinternen Querelen um den Kurs gegenüber der AfD sowie zu den zuwanderungspolitischen Ideen ihrer Partei.,Politik,
Markus Lanz vom 24. August 2023,Kristina Dunz,2023-08-24T00:00:00.000000,Journalistin,,"Die Politik-Expertin vom ""RedaktionsNetzwerk Deutschland"" analysiert die Oppositionsarbeit der CDU, die Rhetorik von Parteichef Merz und dessen asylpolitische Konzepte.",Journalismus,RND
Markus Lanz vom 24. August 2023,Ferdinand von Schirach,2023-08-24T00:00:00.000000,Jurist,,Der Bestsellerautor reflektiert die Stimmungslage in Deutschland. Zudem äußert er sich zum Erstarken der AfD und zur Verdachtsberichterstattung über Prominente.,Recht,
Markus Lanz vom 10. Mai 2023,Johannes Vogel,2023-05-10T00:00:00.000000,Politiker,FDP,"Der FDP-Vize nimmt Stellung zum heutigen Flüchtlingsgipfel im Kanzleramt, zu den migrationspolitischen Herausforderungen sowie den asylpolitischen Konzepten der Liberalen.",Politik,
Markus Lanz vom 10. Mai 2023,Belit Onay,2023-05-10T00:00:00.000000,Politiker,B90G,"Der grüne Oberbürgermeister Hannovers kritisiert den Ton in der flüchtlingspolitischen Debatte und erläutert, wie Deutschland der Umbau zu einer Migrationsgesellschaft besser gelingen könnte.",Politik,
Markus Lanz vom 10. Mai 2023,Tanja Schweiger,2023-05-10T00:00:00.000000,Landrätin,Freie Wähler,Die Kommunalpolitikerin (Freie Wähler) spricht über die Situation der Menschen mit Asylbezug im Kreis Regensburg und legt ihre politischen Forderungen dar.,Politik,
Markus Lanz vom 10. Mai 2023,Matthias Schimpf,2023-05-10T00:00:00.000000,Kommunalbeamter,,"Im südhessischen Bensheim managt er eine Zeltstadt, in der circa 600 Flüchtlinge zum Teil seit Monaten leben. ""Wir sind am Ende unserer Leistungsfähigkeit"", sagt er.",Sonstiges,
Markus Lanz vom 7. September 2023,Thorsten Frei,2023-09-07T00:00:00.000000,CDU-Politiker,CDU,"Er nimmt Stellung zu seiner umstrittenen Forderung nach einer Abschaffung des individuellen Asylrechts, dem Umgang mit der AfD und den wirtschaftspolitischen Ideen seiner Partei.",Politik,
Markus Lanz vom 7. September 2023,Michael Bröcker,2023-09-07T00:00:00.000000,Journalist,,"Der ""The Pioneer""-Chefredakteur analysiert die migrations- und asylpolitische Haltung der CDU und den Führungsstil und das Standing von Parteichef Friedrich Merz.",Journalismus,The Pioneer
Markus Lanz vom 7. September 2023,Philippa Sigl-Glöckner,2023-09-07T00:00:00.000000,Ökonomin,,"Die Direktorin der Denkfabrik ""Dezernat Zukunft"" hinterfragt die wirtschaftspolitischen Ansätze der CDU und legt ihre Zukunftsvision für den Industriestandort Deutschland dar.",Ökonomie,
Markus Lanz vom 7. September 2023,Judith Kohlenberger,2023-09-07T00:00:00.000000,Migrationsexpertin,,Die Forscherin von der Wirtschaftsuniversität Wien spricht über die Flüchtlingssituation in Europa und ihre Konzepte für eine humane und leistbare Asyl- und Integrationspolitik.,Inneres,
Markus Lanz vom 28. November 2023,Frederik Pleitgen,2023-11-28T00:00:00.000000,Kriegsreporter,,"Der ""CNN""-Journalist spricht über die Bedeutung von Kriegsberichterstattung und berichtet von seinen Erlebnissen in den Kampfgebieten in der Ukraine und Russland.",Journalismus,CNN
Markus Lanz vom 28. November 2023,Florence Gaub,2023-11-28T00:00:00.000000,Sicherheitsexpertin,,Die Politologin vom NATO Defense College informiert über den Status quo des Russland-Ukraine-Krieges und erläutert die unterschiedlichen internationalen Blickwinkel auf den Konflikt.,Inneres,
Markus Lanz vom 28. November 2023,Nils Thal,2023-11-28T00:00:00.000000,Feuerwehrmann,,"Der 36-jährige Nürnberger reiste mehrfach in die Ukraine, um dort Brände zu löschen und auch als Sanitäter zu helfen. Er erzählt von seinen Einsätzen und Eindrücken.",Sonstiges,
Markus Lanz vom 12. Oktober 2023,Linda Teuteberg,2023-10-12T00:00:00.000000,FDP-Politikerin,FDP,Die Ex-Generalsekretärin und Migrationsexpertin der Liberalen äußert sich zur Wahlniederlage ihrer Partei in Hessen und Bayern sowie zur Flüchtlingspolitik der Ampelkoalition.,Politik,
Markus Lanz vom 12. Oktober 2023,Robert Lambrou,2023-10-12T00:00:00.000000,AfD-Politiker,AfD,"Der hessische Fraktionsvorsitzende der ""Alternative für Deutschland"" nimmt Stellung zur migrations- und europapolitischen Haltung seiner Partei.",Politik,
Markus Lanz vom 12. Oktober 2023,Robin Alexander,2023-10-12T00:00:00.000000,Journalist,,"Der ""Welt""-Vize spricht über Versäumnisse in der deutschen Flüchtlingspolitik und über die Schwäche der FDP. Zudem analysiert er die Programmatik und Rhetorik der AfD.",Journalismus,Welt
Markus Lanz vom 12. Oktober 2023,Belit Onay,2023-10-12T00:00:00.000000,Bündnis 90/Die Grünen,B90G,"Laut neuer Zuweisungsquote muss der OB von Hannover bis März 2024 über 800 Menschen aufnehmen. Er schildert, wie herausfordernd der Flüchtlingszustrom für seine Stadt ist.",Politik,
Markus Lanz vom 26. Oktober 2023,Theo Waigel,2023-10-26T00:00:00.000000,Politiker,CSU,"Der CSU-Ehrenvorsitzende spricht über Vertrauen in die Demokratie in Krisenzeiten, die Rolle Deutschlands in der Welt sowie über migrations- und wirtschaftspolitische Herausforderungen.",Politik,
Markus Lanz vom 9. Februar 2023,Karl Lauterbach,2023-02-09T00:00:00.000000,Politiker,SPD,Der Bundesgesundheitsminister (SPD) zieht eine Bilanz nach drei Jahren Corona. Zudem äußert er sich zu seinen Krankenhaus-Reformplänen. ,Politik,
Markus Lanz vom 9. Februar 2023,Markus Grill,2023-02-09T00:00:00.000000,Gesundheitsexperte,,Der Investigativjournalist (NDR/WDR) analysiert die Rolle Lauterbachs in der Coronapandemie sowie dessen Wirken als Bundesminister im Kabinett Scholz seit Dezember 2021. ,Gesundheit,
Markus Lanz vom 9. Februar 2023,Dr. Agnes Genewein,2023-02-09T00:00:00.000000,Ärztin,,Sie spricht über Ursachen und Auswirkungen der Überlastung von Kinderkrankenhäusern sowie über psychische Erkrankungen bei Kindern und Jugendlichen als Folge der Pandemiemaßnahmen. ,Gesundheit,
Markus Lanz vom 9. Februar 2023,Heribert Prantl,2023-02-09T00:00:00.000000,Journalist,,"Der ""SZ""-Kolumnist fordert eine rechtliche Bewertung und wertende Nachbetrachtung der Anti-Coronamaßnahmen. Er meint: ""Viele Aberwitzigkeiten sind schon wieder fast vergessen.""",Journalismus,Süddeutsche Zeitung
Markus Lanz vom 4. April 2023,Johannes Hano,2023-04-04T00:00:00.000000,Journalist,,"Zugeschaltet aus New York, informiert der Leiter des dortigen ZDF-Studios über Hintergründe und Reaktionen auf die Anklageerhebung gegen den früheren US-Präsidenten Donald Trump.",Journalismus,ZDF
Markus Lanz vom 4. April 2023,Linus Neumann,2023-04-04T00:00:00.000000,IT-Experte,,"Der Sprecher des ""Chaos Computer Club"" erläutert, wie künstliche Intelligenz funktioniert, Algorithmen lernen und wie vielfältig die Anwendungsfälle moderner Computertechnologien sind.",Sonstiges,
Markus Lanz vom 4. April 2023,Florian Flade,2023-04-04T00:00:00.000000,Journalist,,Der Investigativ-Reporter (u. a. SZ) äußert sich zu den Missbrauchsmöglichkeiten von künstlicher Intelligenz in der medialen Berichterstattung und verdeutlicht dies anhand von Beispielen.,Journalismus,
Markus Lanz vom 4. April 2023,Martin Knobbe,2023-04-04T00:00:00.000000,Journalist,,"Der Politikressortleiter vom SPIEGEL spricht über die Gefahren von Fake News und gezielter Desinformation im Netz und erläutert, wie weitreichend deren Einfluss auf die Meinungsbildung ist.",Journalismus,
Markus Lanz vom 24. Mai 2023,Lars Klingbeil,2023-05-24T00:00:00.000000,Politiker,SPD,Der SPD-Chef nimmt Stellung zum Gebäudeenergiegesetz. Zudem äußert er sich zur aktuellen Lage im Ukrainekrieg.,Politik,
Markus Lanz vom 24. Mai 2023,Michael Bröcker,2023-05-24T00:00:00.000000,Journalist,,"Der ""The Pioneer""-Chefredakteur analysiert die Streitigkeiten innerhalb der Ampelkoalition rund um die Heizungswende. Und er äußert sich zum Führungsstil von Kanzler Scholz.",Journalismus,The Pioneer
Markus Lanz vom 24. Mai 2023,Ursula Weidenfeld,2023-05-24T00:00:00.000000,Wirtschaftsexpertin,,"Die Journalistin (u. a. ""Der Spiegel"") hinterfragt die deutsche Wirtschaftsstrategie und geplanten Maßnahmen. Und sie spricht über den Zustand der SPD, die ihr 160-jähriges Bestehen feiert.",Ökonomie,
Markus Lanz vom 24. Mai 2023,Jonas Kratzenberg,2023-05-24T00:00:00.000000,Ex-Bundeswehrsoldat,,"Als Freiwilliger ging er an die ukrainische Front. ""Jeder weiß, dass Krieg schlimm ist. Aber wie die Realität letztendlich aussieht, versteht man erst, wenn man da ist"", berichtet er.",Militär,
Markus Lanz vom 5. Dezember 2023,Saskia Esken,2023-12-05T00:00:00.000000,SPD-Vorsitzende,SPD,"Sie äußert sich zu den Ursachen und Folgen der Haushaltskrise, zur Debatte um eine grundlegende Reform der Schuldenbremse und zur deutschen Asylpolitik.",Politik,
Markus Lanz vom 5. Dezember 2023,Lars Feld,2023-12-05T00:00:00.000000,Ökonom,,"Der Professor für Wirtschaftspolitik und Ordnungsökonomie ist Berater des Bundesfinanzministers Lindner (FDP). Er legt dar, wo er das größte Sparpotenzial im Bundeshaushalt sieht.",Ökonomie,
Markus Lanz vom 5. Dezember 2023,Nikolaus Blome,2023-12-05T00:00:00.000000,Journalist,,"Der Ressortleiter Politik & Wirtschaft bei ""RTL"" und ""n-tv"" analysiert die fiskalpolitischen Verhandlungen und die Migrationspolitik der Bundesregierung.",Journalismus,RTL
Markus Lanz vom 5. Dezember 2023,Vanessa Vu,2023-12-05T00:00:00.000000,Journalistin,,"Die ""Zeit-Online""-Redakteurin spricht über den restriktiven Weg Dänemarks in der Asyl- und Migrationspolitik. ",Journalismus,Zeit
Markus Lanz vom 4. Juli 2023,Hubert Aiwanger,2023-07-04T00:00:00.000000,Politiker,Freie Wähler,Der stellvertretende Ministerpräsident und Wirtschaftsminister Bayerns (Freie Wähler) nimmt Stellung zu den gegen ihn gerichteten Populismus-Vorwürfen und zu seiner wirtschaftspolitischen Agenda.,Politik,
Markus Lanz vom 4. Juli 2023,Annika Joeres,2023-07-04T00:00:00.000000,Frankreich-Expertin,,Mit Blick auf die schweren Unruhen in Frankreich informiert die Autorin über die Sicherheits- und Stimmungslage in dem Land und über die politischen Reaktionen auf die Proteste.,International,
Markus Lanz vom 4. Juli 2023,Ursula Münch,2023-07-04T00:00:00.000000,Politologin,,Vor dem Hintergrund der Ausschreitungen in Frankreich äußert sie sich zum Zustand der politischen Kultur und der Demokratie in Deutschland. Zudem analysiert sie das Wirken Hubert Aiwangers.,Wissenschaft,
Markus Lanz vom 4. Juli 2023,Florian Flade,2023-07-04T00:00:00.000000,Journalist,,"Der Investigativreporter (unter anderem für die ""SZ"") berichtet von seinen neuesten Recherchen zu dem Anschlag auf die Nord-Stream-Pipelines in der Ostsee im September 2022.",Journalismus,Süddeutsche Zeitung
Markus Lanz vom 13. Juli 2023,Christian Dürr,2023-07-13T00:00:00.000000,Politiker,FDP,"Der FDP-Fraktionschef nimmt Stellung zum aktuellen Stand des GEG, der Forderung seiner Partei nach mehr Technologieoffenheit und zur weiteren Zusammenarbeit der Ampelkoalitionäre.",Politik,
Markus Lanz vom 13. Juli 2023,Petra Pinzler,2023-07-13T00:00:00.000000,Journalistin,,"Die Wirtschaftsexpertin der ""ZEIT"" analysiert die Rolle der FDP in den Streitigkeiten um die Heizungswende. Zudem äußert sie sich zu den Potenzialen von Wasserstoff als Energieträger.",Journalismus,Zeit
Markus Lanz vom 13. Juli 2023,Adam Tooze,2023-07-13T00:00:00.000000,Wirtschaftshistoriker,,Der Professor der Columbia University New York hinterfragt den haushalts- und finanzpolitischen Kurs Deutschlands und erläutert seine Kritik an der Investitionspolitik der Bundesregierung.,Geschichte,
Markus Lanz vom 13. Juli 2023,Uwe Ritzer,2023-07-13T00:00:00.000000,Autor,,"Der Investigativ-Journalist der ""SZ"" warnt vor einem bevorstehenden Wassernotstand in Deutschland, erklärt dessen Ursachen und skizziert die Folgen für Bevölkerung und Wirtschaft.",Literatur,
Markus Lanz vom 29. August 2023,Johannes Vogel,2023-08-29T00:00:00.000000,Politiker,FDP,"Der FDP-Vize nimmt Stellung zu den Dauerstreitigkeiten innerhalb der Ampelkoalition, zur Kindergrundsicherung, dem Wachstumschancengesetz und zur Debatte um den Industriestrompreis.",Politik,
Markus Lanz vom 29. August 2023,Melanie Amann,2023-08-29T00:00:00.000000,Journalistin,,"Mit Blick auf die Kabinettsklausur in Meseberg analysiert die Leiterin des ""SPIEGEL""-Hauptstadtbüros die aktuelle Regierungsarbeit. ""Es herrscht ein Mangel an Zusammenhalt"", sagt sie.",Journalismus,Spiegel
Markus Lanz vom 29. August 2023,Sönke Neitzel,2023-08-29T00:00:00.000000,Militärexperte,,Der Professor für Militärgeschichte informiert über die Entwicklung des Ukrainekrieges. Zudem äußert er sich zu historischen Parallelen zum Zweiten Weltkrieg.,Militär,
Markus Lanz vom 29. August 2023,Reinhold Beckmann,2023-08-29T00:00:00.000000,Moderator,,"Er gewährt einen persönlichen Einblick in die schicksalhafte Geschichte seiner Mutter Aenne, deren Mutter starb, als sie noch ein Baby war, und die in der NS-Zeit ihre vier Brüder verlor.",Sonstiges,
Markus Lanz vom 17. Mai 2023,Ricarda Lang,2023-05-17T00:00:00.000000,Politikerin,B90G,Die Grünen-Chefin nimmt Stellung zum Rücktritt des Energiestaatssekretärs und Habeck-Vertrauten Graichen. Zudem spricht sie über die energie- und klimapolitische Programmatik ihrer Partei.,Politik,
Markus Lanz vom 17. Mai 2023,Kerstin Münstermann,2023-05-17T00:00:00.000000,Journalistin,,"Die Politik-Expertin der ""Rheinischen Post"" äußert sich zu Hintergründen und Reaktionen auf die ""Trauzeugen-Affäre"". Und sie analysiert die Zusammenarbeit der Ampelkoalitionäre.",Journalismus,Rheinische Post
Markus Lanz vom 20. September 2023,Philipp Köster,2023-09-20T00:00:00.000000,Sportjournalist,,"Der ""11 Freunde""-Chefredakteur äußert sich zu den jüngsten Personalentscheidungen des DFB und den Folgen der fortschreitenden Kommerzialisierung des Fußballs.",Journalismus,
